x,y
-8514981.2858664,5228680.30985409
-8514986.95376757,5228688.38781496
-8514990.42602365,5228695.79187555
-8514991.80645747,5228706.6347995
-8514993.11034684,5228716.80504535
-8514994.43995162,5228726.97519394
-8514995.23248653,5228733.08249823
-8514995.97359731,5228739.18988635
-8514996.71460182,5228745.27119966
-8514998.17170542,5228756.81295047
-8514998.91271255,5228762.89441065
-8515000.11422092,5228772.39185749
-8515001.23904799,5228781.21634715
-8515002.33878156,5228789.34226258
-8515003.43792782,5228798.14093274
-8515004.56276086,5228806.96558162
-8515005.04522014,5228813.74534954
-8515004.15856326,5228825.2826022
-8515004.15636784,5228825.31058016
-8515002.08571856,5228832.81209243
-8515001.2277022,5228839.61623152
-8514999.97923042,5228849.83559825
-8515000.02273533,5228857.31361624
-8515005.18369751,5228900.68612843
-8515006.61791188,5228909.51107152
-8515012.52493207,5228930.45064242
-8515015.50822686,5228937.20726453
-8515018.51740204,5228943.93811108
-8515015.50822686,5228937.20726453
-8515012.52493207,5228930.45064242
-8515006.61791188,5228909.51107152
-8515005.18369751,5228900.68612843
-8515000.02273533,5228857.31361624
-8514999.97923042,5228849.83559825
-8515001.2277022,5228839.61623152
-8515002.08571856,5228832.81209243
-8515004.15636784,5228825.31058016
-8515004.15856326,5228825.2826022
-8515005.04522014,5228813.74534954
-8515004.56276086,5228806.96558162
-8515003.43792782,5228798.14093274
-8515002.33878156,5228789.34226258
-8515001.23904799,5228781.21634715
-8515000.11422092,5228772.39185749
-8514998.91271255,5228762.89441065
-8514998.17170542,5228756.81295047
-8514996.71460182,5228745.27119966
-8514995.97359731,5228739.18988635
-8514995.23248653,5228733.08249823
-8514994.43995162,5228726.97519394
-8514993.11034684,5228716.80504535
-8514991.80645747,5228706.6347995
-8514990.42602365,5228695.79187555
-8514986.95376757,5228688.38781496
-8514981.2858664,5228680.30985409
-8514984.17829754,5228677.74550215
-8515010.66491217,5228646.52251636
-8515050.67857789,5228595.56716682
-8515061.1041914,5228581.64944598
-8515069.12010091,5228570.93755339
-8515080.65459116,5228552.90669059
-8515102.76154654,5228515.82681664
-8515080.65459116,5228552.90669059
-8515069.12010091,5228570.93755339
-8515061.1041914,5228581.64944598
-8515050.67857789,5228595.56716682
-8515010.66491217,5228646.52251636
-8514984.17829754,5228677.74550215
-8514981.2858664,5228680.30985409
-8514974.38272675,5228684.23610563
-8514955.58069581,5228688.91571665
-8514930.64074389,5228693.29534212
-8514919.17593678,5228697.20679405
-8514912.38016972,5228685.60112828
-8514873.86642767,5228627.50439084
-8514871.66266366,5228619.77181775
-8514869.2761374,5228609.6264109
-8514867.40578184,5228592.51070624
-8514866.48661466,5228519.99458402
-8514866.48625834,5228519.94908308
-8514865.9600183,5228448.73742253
-8514865.30634434,5228405.26807529
-8514865.29763922,5228404.68878958
-8514863.30946333,5228360.42579981
-8514865.29763922,5228404.68878958
-8514865.30634434,5228405.26807529
-8514865.9600183,5228448.73742253
-8514866.48625834,5228519.94908308
-8514866.48661466,5228519.99458402
-8514867.40578184,5228592.51070624
-8514869.2761374,5228609.6264109
-8514871.66266366,5228619.77181775
-8514873.86642767,5228627.50439084
-8514912.38016972,5228685.60112828
-8514919.17593678,5228697.20679405
-8514924.51159335,5228711.24268793
-8514927.96174178,5228766.18086938
-8514928.470722,5228772.28789444
-8514929.08282395,5228778.39503607
-8514929.7200449,5228785.17495668
-8514930.33214833,5228791.2822423
-8514930.94425269,5228797.38939595
-8514931.52978022,5228804.16927343
