x,y
-8516407.56487831,5226442.09425139
-8516399.23906195,5226442.91425363
-8516368.46382925,5226444.12707923
-8516357.14878665,5226444.34932598
-8516333.280451,5226446.11170447
-8516247.93992054,5226449.00576866
-8516220.05124555,5226450.16912155
-8516219.80769297,5226450.18912205
-8516209.48309072,5226451.03855143
-8516111.12582822,5226454.82425135
-8516111.6031011,5226467.70728556
-8516112.78522738,5226498.25940594
-8516114.04200956,5226531.52798859
-8516116.42993646,5226594.6505375
-8516117.43552561,5226621.11558132
-8516118.09069873,5226636.71519795
-8516119.0725251,5226661.16254035
-8516120.52840307,5226701.88222878
-8516120.77833582,5226710.03122622
-8516126.40031594,5226868.17729298
-8516127.68306107,5226901.42124892
-8516129.39220445,5226946.90227092
-8516132.91299783,5227038.53755114
-8516129.39220445,5226946.90227092
-8516127.68306107,5226901.42124892
-8516126.40031594,5226868.17729298
-8516120.77833582,5226710.03122622
-8516120.52840307,5226701.88222878
-8516119.0725251,5226661.16254035
-8516118.09069873,5226636.71519795
-8516117.43552561,5226621.11558132
-8516116.42993646,5226594.6505375
-8516114.04200956,5226531.52798859
-8516112.78522738,5226498.25940594
-8516111.6031011,5226467.70728556
-8516111.12582822,5226454.82425135
-8516110.74893461,5226444.63166295
-8516109.13978531,5226402.56776076
-8516107.43215051,5226355.71837302
-8516106.30171644,5226325.192558
-8516105.72647014,5226306.85149655
-8516105.53332509,5226293.27044538
-8516104.75339627,5226273.50643295
-8516103.95570506,5226253.78630442
-8516103.4946172,5226242.38585923
-8516102.89039524,5226227.45936638
-8516101.48427122,5226188.75943929
-8516099.77668656,5226141.93703391
-8516099.42552262,5226131.74480366
-8516097.94279671,5226092.39856677
-8516096.31187572,5226046.22319078
-8516095.83203281,5226036.0568732
-8516095.30182823,5226024.51947543
-8516093.77152064,5225981.08645994
-8516092.6939021,5225949.19099535
-8516093.29982396,5225935.58542695
-8516096.20532398,5225915.85152222
-8516098.50767138,5225906.98139331
-8516104.32094421,5225888.61608684
-8516106.21180627,5225881.9209952
-8516103.06082938,5225880.76934085
-8516100.34163373,5225879.11678528
-8516097.90990761,5225877.06176931
-8516095.8241831,5225874.65404737
-8516094.13473173,5225871.95151305
-8516093.2010015,5225869.38916239
-8516092.72195844,5225866.70355284
-8516092.71186526,5225863.9752188
-8516092.89330806,5225861.28006678
-8516093.49733019,5225858.64765008
-8516094.50858006,5225856.14421661
-8516095.90169788,5225853.83288145
-8516097.64145262,5225851.77186176
-8516099.68423157,5225850.01312049
-8516101.96593404,5225848.38903706
-8516104.47117644,5225847.14047815
-8516107.13918597,5225846.29739303
-8516109.90541074,5225845.88049407
-8516112.70246821,5225845.89976405
-8516115.43512799,5225846.20181016
-8516118.0901412,5225846.91819492
-8516120.60529159,5225848.03242846
-8516122.92188977,5225849.51811215
-8516124.9858536,5225851.34097639
-8516126.74892653,5225853.458067
-8516128.17002808,5225855.82019065
-8516129.21431028,5225858.3683835
-8516129.21579507,5225858.37191533
-8516129.79627632,5225860.67321193
-8516130.07095271,5225863.03097203
-8516130.17907354,5225865.68797753
-8516129.89487137,5225868.33184147
-8516129.22448938,5225870.90458958
-8516128.1828632,5225873.34961381
-8516126.79277225,5225875.61343666
-8516125.08456866,5225877.64625404
-8516122.37487299,5225879.62895034
-8516119.38016674,5225881.1434557
-8516116.18017379,5225882.14938273
-8516112.85974574,5225882.620335
-8516109.50723871,5225882.54349816
-8516106.21180627,5225881.9209952
-8516104.32094421,5225888.61608684
-8516098.50767138,5225906.98139331
-8516096.20532398,5225915.85152222
-8516093.29982396,5225935.58542695
-8516092.6939021,5225949.19099535
-8516093.77152064,5225981.08645994
-8516095.30182823,5226024.51947543
-8516095.83203281,5226036.0568732
-8516096.31187572,5226046.22319078
-8516097.94279671,5226092.39856677
-8516099.42552262,5226131.74480366
-8516099.77668656,5226141.93703391
-8516101.48427122,5226188.75943929
