x,y
-8514901.23607761,5227827.55412108
-8514896.94436397,5227845.61360993
-8514895.25835449,5227855.15873791
-8514894.01139198,5227864.0057333
-8514889.42431153,5227886.4839276
-8514887.48197362,5227894.68344378
-8514886.31535884,5227900.81388038
-8514885.71572089,5227906.9450787
-8514885.81218185,5227913.05110427
-8514886.47575747,5227919.15775596
-8514887.86114466,5227925.2393987
-8514892.15142868,5227938.7496018
-8514894.25564996,5227947.54860349
-8514895.97313694,5227956.34718891
-8514897.58765018,5227965.14566925
-8514900.07420282,5227978.00719789
-8514905.85882118,5227992.16585779
-8514909.66889569,5227996.85306873
-8514915.1553807,5228000.8434816
-8514922.65248819,5228004.78434582
-8514930.61450196,5228008.0272157
-8514942.15819185,5228012.59343493
-8514951.25508036,5228015.13889415
-8514961.6410192,5228017.68574937
-8514970.22466918,5228018.21255131
-8514979.78851051,5228018.0419126
-8514987.93545111,5228017.22270044
-8514997.13984597,5228015.70626649
-8515007.73789948,5228012.79420265
-8515023.72287944,5228010.48283212
-8515031.99938296,5228008.96536058
-8515040.50634858,5228008.81932197
-8514038.67640056,5228694.8650731
-8514038.22275969,5228686.04134536
-8514037.79483213,5228677.21752045
-8514037.4935986,5228670.4380152
-8514037.21714944,5228664.33128332
-8514036.94083595,5228658.2245555
-8514036.61362071,5228651.44503285
-8514036.33730797,5228645.33831324
-8514036.06168394,5228638.53291855
-8514035.78537193,5228632.42620719
-8514035.53477245,5228626.31953025
-8514035.30988546,5228620.21288776
-8514035.03357444,5228614.10618808
-8514034.75712845,5228607.99949214
-8514034.50735405,5228601.1941547
-8514034.08194868,5228590.3522089
-8514033.52922537,5228578.11304498
-8514033.20360181,5228569.9881158
-8514032.90306344,5228562.51001307
-8514032.65408483,5228555.03197744
-8514032.30275082,5228546.90703731
-8514032.02885434,5228538.75638974
-8514031.72911122,5228530.60558259
-8514031.45508051,5228522.45481294
-8514031.10377913,5228514.30409424
-8514030.82974941,5228506.15333847
-8514030.45353078,5228497.32987662
-8514030.07797117,5228487.8335611
-8514029.72760121,5228479.01001103
-8514029.32540223,5228470.18654334
-8514029.02486996,5228462.7085186
-8514028.67367769,5228454.58365702
-8514026.96859409,5228413.85588157
-8514024.74080703,5228357.50003466
-8514024.67381375,5228348.67694161
-8514024.21954361,5228340.52611268
-8514023.86811964,5228332.37554877
-8514022.69101882,5228303.18854212
-8514021.43731469,5228273.32895756
-8514020.96348286,5228259.74473553
-8514018.68500338,5228202.71689336
-8514017.05661532,5228162.66312055
-8514015.08028109,5228111.76806807
-8514014.67745163,5228103.61763778
-8514012.38928305,5228054.74075257
-8514010.53943429,5228005.86450271
-8514009.43564456,5227980.09391464
-8514009.08438169,5227971.943522
-8514004.7939393,5227897.80368127
-8513985.30738079,5227898.10423662
-8513925.64340833,5227904.43459336
-8513890.02964301,5227905.94186103
-8513873.5688454,5227907.07374583
-8513690.65342825,5227911.82361585
-8513656.25503096,5227911.54404153
-8513641.07225104,5227911.13736756
-8513632.82313235,5227911.28245761
-8513511.02371009,5227910.01923377
-8513632.82313235,5227911.28245761
-8513641.07225104,5227911.13736756
-8513656.25503096,5227911.54404153
-8513690.65342825,5227911.82361585
-8513873.5688454,5227907.07374583
-8513890.02964301,5227905.94186103
-8513925.64340833,5227904.43459336
-8513985.30738079,5227898.10423662
-8514004.7939393,5227897.80368127
-8514119.14296818,5227895.95654418
-8514128.96461431,5227895.78707566
-8514141.10619321,5227895.56844532
-8514268.52063684,5227900.81441432
-8514277.67111978,5227901.34250019
-8514286.25462564,5227901.86991903
-8514300.84210843,5227904.31885935
-8514315.24764519,5227908.13874346
-8514329.16254367,5227912.65666639
-8514338.30851789,5227917.24674782
-8514346.55217592,5227921.86158558
-8514352.52812317,5227925.82705528
-8514366.82281772,5227936.45130377
-8514379.90357512,5227949.11801623
-8514391.61723636,5227962.50772657
-8514407.97448241,5227995.51431438
-8514411.77905354,5228004.93637502
-8514415.24904934,5228013.71130693
-8514418.71332412,5228021.93061802
-8514420.08230142,5228025.17858528
-8514423.81023018,5228033.95369258
-8514428.61921677,5228044.04963111
-8514431.60261156,5228050.10744625
-8514435.64145911,5228057.51172989
-8514440.35120793,5228064.21814762
-8514446.01575832,5228070.22715756
-8514452.09339777,5228075.56394243
-8514458.63661005,5228079.53005716
-8514465.64386802,5228083.47075795
-8514473.06511003,5228086.06653055
-8514480.66690172,5228088.63669876
-8514488.45060064,5228089.86153543
-8514496.38973232,5228090.41384402
-8514504.27809692,5228090.2677201
-8514515.98478753,5228087.35731257
-8514527.79615906,5228083.0498676
-8514534.21976326,5228078.86586712
-8514540.28232982,5228074.68118306
-8514545.88174367,5228069.84935138
-8514550.8632576,5228064.31818105
-8514561.19313294,5228047.82294373
-8514564.52843055,5228038.9522444
-8514568.81764228,5228030.03088522
-8514579.54257542,5228006.05882335
-8514583.03189098,5227997.86115827
-8514585.77052237,5227992.3792233
-8514591.3743088,5227983.45938152
-8514598.73347564,5227972.44590261
-8514616.3646353,5227950.39630492
-8514629.57690014,5227937.94056121
-8514645.6770682,5227924.76348987
-8514651.9458456,5227920.57930451
-8514652.32729706,5227920.34382358
-8514671.24100319,5227908.67361997
-8514679.49461774,5227904.46556989
-8514699.22725338,5227893.23302251
-8514723.18972522,5227879.90956047
-8514723.68821568,5227879.80241597
-8514747.76855303,5227874.62675316
-8514761.69104197,5227876.69762262
-8514779.36230379,5227886.80721783
-8514761.69104197,5227876.69762262
-8514747.76855303,5227874.62675316
-8514723.18972522,5227879.90956047
-8514699.22725338,5227893.23302251
-8514679.49461774,5227904.46556989
-8514671.24100319,5227908.67361997
-8514652.32729706,5227920.34382358
-8514651.9458456,5227920.57930451
-8514645.6770682,5227924.76348987
-8514629.57690014,5227937.94056121
-8514616.3646353,5227950.39630492
-8514598.73347564,5227972.44590261
-8514591.3743088,5227983.45938152
-8514585.77052237,5227992.3792233
-8514583.03189098,5227997.86115827
-8514579.54257542,5228006.05882335
-8514568.81764228,5228030.03088522
-8514564.52843055,5228038.9522444
-8514561.19313294,5228047.82294373
-8514550.8632576,5228064.31818105
-8514545.88174367,5228069.84935138
-8514540.28232982,5228074.68118306
-8514534.21976326,5228078.86586712
-8514527.79615906,5228083.0498676
-8514515.98478753,5228087.35731257
-8514504.27809692,5228090.2677201
-8514496.38973232,5228090.41384402
-8514488.45060064,5228089.86153543
-8514480.66690172,5228088.63669876
-8514473.06511003,5228086.06653055
-8514465.64386802,5228083.47075795
-8514458.63661005,5228079.53005716
-8514452.09339777,5228075.56394243
-8514446.01575832,5228070.22715756
-8514440.35120793,5228064.21814762
-8514435.64145911,5228057.51172989
-8514431.60261156,5228050.10744625
-8514428.61921677,5228044.04963111
-8514423.81023018,5228033.95369258
-8514420.08230142,5228025.17858528
-8514418.71332412,5228021.93061802
-8514415.24904934,5228013.71130693
-8514411.77905354,5228004.93637502
-8514407.97448241,5227995.51431438
-8514391.61723636,5227962.50772657
-8514379.90357512,5227949.11801623
-8514366.82281772,5227936.45130377
-8514352.52812317,5227925.82705528
-8514346.55217592,5227921.86158558
-8514338.30851789,5227917.24674782
-8514329.16254367,5227912.65666639
-8514315.24764519,5227908.13874346
-8514300.84210843,5227904.31885935
-8514286.25462564,5227901.86991903
-8514277.67111978,5227901.34250019
-8514268.52063684,5227900.81441432
-8514141.10619321,5227895.56844532
-8514128.96461431,5227895.78707566
-8514119.14296818,5227895.95654418
-8514004.7939393,5227897.80368127
-8514009.08438169,5227971.943522
-8514009.43564456,5227980.09391464
-8514010.53943429,5228005.86450271
-8514012.38928305,5228054.74075257
-8514014.67745163,5228103.61763778
-8514015.08028109,5228111.76806807
-8514017.05661532,5228162.66312055
-8514018.68500338,5228202.71689336
-8514020.96348286,5228259.74473553
-8514021.43731469,5228273.32895756
-8514022.69101882,5228303.18854212
-8514023.86811964,5228332.37554877
-8514024.21954361,5228340.52611268
-8514024.67381375,5228348.67694161
-8514024.74080703,5228357.50003466
-8514026.96859409,5228413.85588157
-8514028.67367769,5228454.58365702
-8514029.02486996,5228462.7085186
-8514029.32540223,5228470.18654334
-8514029.72760121,5228479.01001103
-8514030.07797117,5228487.8335611
-8514030.45353078,5228497.32987662
-8514030.82974941,5228506.15333847
-8514031.10377913,5228514.30409424
-8514031.45508051,5228522.45481294
-8514031.72911122,5228530.60558259
-8514032.02885434,5228538.75638974
-8514032.30275082,5228546.90703731
-8514032.65408483,5228555.03197744
-8514032.90306344,5228562.51001307
-8514033.20360181,5228569.9881158
-8514033.52922537,5228578.11304498
-8514034.08194868,5228590.3522089
-8514034.50735405,5228601.1941547
-8514034.75712845,5228607.99949214
-8514035.03357444,5228614.10618808
-8514035.30988546,5228620.21288776
-8514035.53477245,5228626.31953025
-8514035.78537193,5228632.42620719
-8514036.06168394,5228638.53291855
-8514036.33730797,5228645.33831324
-8514036.61362071,5228651.44503285
-8514036.94083595,5228658.2245555
-8514037.21714944,5228664.33128332
-8514037.4935986,5228670.4380152
-8514037.79483213,5228677.21752045
-8514038.22275969,5228686.04134536
-8514038.67640056,5228694.8650731
-8514038.81985788,5228704.38726108
-8514038.65798021,5228710.49349809
-8514038.36644614,5228717.29813474
-8514037.61152707,5228723.42961848
-8514036.13314672,5228730.93154141
-8514034.11358377,5228738.4328272
-8514031.52668783,5228745.95938715
-8514029.25145681,5228751.4162011
-8514026.7443737,5228756.89868479
-8514023.85131072,5228761.70796603
-8514020.90668433,5228766.51718747
-8514017.72996509,5228771.32613434
-8514010.60400844,5228780.29630808
-8514002.70625119,5228787.89412689
-8513997.93203729,5228792.05436952
-8513993.05535881,5228795.54174095
-8513988.17867691,5228799.0289753
-8513980.0778625,5228803.9096086
-8513971.92544814,5228808.8162545
-8513940.61447972,5228820.24135681
-8513897.96719738,5228868.75789193
-8513868.45978863,5228902.3342992
-8513860.40629567,5228910.63047172
-8513853.4757585,5228928.42429776
-8513852.33486647,5228933.88267805
-8513843.98523446,5228974.10885978
-8513837.44131684,5229012.2742713
-8513835.2690827,5229061.89424064
-8513835.23264447,5229070.71773275
-8513836.22513136,5229081.58686178
-8513838.30035429,5229092.40542446
-8513841.01581145,5229099.98303473
-8513841.20397305,5229100.50797639
-8513843.59345173,5229107.26450822
-8513852.49616152,5229122.05041059
-8513860.57929932,5229132.09998918
-8513866.99009665,5229139.45646452
-8513875.41026419,5229148.13510047
-8513884.65695199,5229155.44324032
-8513894.60075557,5229162.07944088
-8513906.91721451,5229167.96801587
-8513919.82739315,5229173.18465169
-8513928.77056593,5229175.73122382
-8513939.44022625,5229178.95263187
-8513965.70642587,5229183.25366512
-8513984.2162497,5229184.28486428
-8514012.54826608,5229185.81943404
-8514044.23354713,5229185.93478705
-8514052.48376876,5229185.78931874
-8514107.71517956,5229179.38552384
-8514123.31569053,5229177.07521831
-8514123.42329882,5229177.06094693
-8514135.09967873,5229175.51059498
-8514140.79819467,5229174.74102218
-8514147.86403401,5229173.24852682
-8514154.25871129,5229172.47976457
-8514160.57614145,5229171.68496344
-8514167.33178537,5229170.89080832
-8514174.03589571,5229170.0706441
-8514180.84310017,5229169.27640406
-8514188.26919048,5229168.48302004
-8514195.79816432,5229167.66380681
-8514202.55393795,5229166.86949107
-8514209.30957496,5229166.07530622
-8514216.16755586,5229165.95387481
-8514222.82006582,5229165.15955983
-8514228.56938165,5229165.03682462
-8514238.93381557,5229164.8678527
-8514246.22845336,5229166.09245749
-8514252.1833475,5229166.66866578
-8514258.37020659,5229167.24514037
-8514265.25325965,5229167.7966128
-8514273.01274339,5229168.34896328
-8514279.45664221,5229169.59849764
-8514288.01544676,5229170.12609227
-8514304.02530374,5229170.50679193
-8514310.41919278,5229170.41083352
-8514316.14357038,5229169.6152411
-8514321.76415433,5229169.51824372
-8514327.7454061,5229169.42166017
-8514334.34571007,5229169.29984459
-8514340.1208463,5229169.20301491
-8514346.17950919,5229169.10664492
-8514352.36640539,5229169.65711406
-8514358.65562763,5229170.90641587
-8514364.27527701,5229171.50811075
-8514370.87390778,5229172.73181745
-8514376.36472,5229173.3333568
-8514382.39613458,5229174.58221053
-8514388.01504891,5229175.83085774
-8514395.67002109,5229177.72853793
-8514401.05604259,5229179.67535773
-8514407.92730448,5229182.03803185
-8514408.60709856,5229182.27176413
-8514433.04062279,5229188.63933507
-8514461.70178962,5229195.60689407
-8514492.52780014,5229203.19799815
-8514499.15228955,5229204.44745659
-8514510.13616983,5229203.58016948
-8514541.21191102,5229195.56808238
-8514555.80985654,5229190.53873424
-8514562.97873915,5229189.07198546
-8514570.40484253,5229188.25235446
-8514583.93799827,5229190.05302583
-8514615.48838915,5229195.60026713
-8514642.80285484,5229208.02554165
-8514650.91894295,5229212.64059337
-8514658.44196882,5229217.28091919
-8514665.44787549,5229223.26621864
-8514688.03160939,5229247.33049641
-8514696.70126307,5229264.15970924
-8514705.49078736,5229266.03261458
-8514712.78117047,5229271.34530923
-8514722.72631382,5229277.28212657
-8514743.62505561,5229286.43978629
-8514793.0552528,5229303.9094611
-8514857.09758924,5229327.2171155
-8514903.3775655,5229349.52164352
-8514900.55689186,5229359.06703176
-8514899.46738208,5229365.1984941
-8514898.29823316,5229373.37418448
-8514895.85042558,5229395.83246896
-8514895.4819359,5229402.63753604
-8514895.75895866,5229408.7447154
-8514896.75701008,5229415.52561701
-8514898.96542177,5229423.65316354
-8514909.15906809,5229446.75868275
