x,y
-8518820.63810701,5229182.47369319
-8518816.60008453,5229168.26497338
-8518813.25534111,5229158.14513956
-8518811.57910629,5229154.50072424
-8518806.12432518,5229142.64068868
-8518789.82811424,5229108.29214083
-8518774.51204196,5229073.24591907
-8518770.88280292,5229064.47151088
-8518766.35219933,5229054.37690184
-8518762.77407912,5229046.27544481
-8518753.42986948,5229025.38736343
-8518750.36599617,5229019.33037941
-8518702.48323297,5228913.55837817
-8518710.89581547,5228905.91693868
-8518726.22180395,5228887.97011807
-8518742.19556608,5228865.26272667
-8518752.41774184,5228846.07028857
-8518764.03714231,5228819.34927407
-8518771.5555558,5228795.44594922
-8518773.98447995,5228787.2451912
-8518777.52494172,5228774.54310486
-8518792.20407017,5228721.71663057
-8518806.52180477,5228669.14892536
-8518816.13758532,5228633.39656762
-8518825.8019975,5228597.46358558
-8518838.74943202,5228550.35512341
-8518849.1108652,5228514.83675297
-8518855.98062263,5228496.36724963
-8518859.02718568,5228489.5385394
-8518868.88749218,5228471.01934651
-8518874.46491713,5228460.50683299
-8518890.94215135,5228444.8161283
-8518901.52924897,5228436.35096771
-8518890.94215135,5228444.8161283
-8518874.46491713,5228460.50683299
-8518868.88749218,5228471.01934651
-8518859.02718568,5228489.5385394
-8518855.98062263,5228496.36724963
-8518849.1108652,5228514.83675297
-8518838.74943202,5228550.35512341
-8518825.8019975,5228597.46358558
-8518816.13758532,5228633.39656762
-8518806.52180477,5228669.14892536
-8518792.20407017,5228721.71663057
-8518777.52494172,5228774.54310486
-8518773.98447995,5228787.2451912
-8518771.5555558,5228795.44594922
-8518764.03714231,5228819.34927407
-8518752.41774184,5228846.07028857
-8518742.19556608,5228865.26272667
-8518726.22180395,5228887.97011807
-8518710.89581547,5228905.91693868
-8518702.48323297,5228913.55837817
-8518702.24869804,5228913.76304471
-8518679.31703885,5228933.77258371
-8518639.35688442,5228959.57418917
-8518614.64745589,5228970.73995539
-8518596.92064173,5228977.95225138
-8518575.77661856,5228983.08650428
-8518557.70203417,5228986.12703983
-8518530.42552611,5228986.62521512
-8518522.04670632,5228986.77451301
-8518503.97546796,5228985.05386419
-8518465.5409601,5228978.27295611
-8518446.2351506,5228972.51461031
-8518425.33290051,5228964.03836348
-8518417.31780769,5228960.12532573
-8518397.13956124,5228948.9325695
-8518391.29011225,5228944.96946949
-8518386.34308005,5228940.98107904
-8518348.23493966,5228911.09312683
-8518343.05633747,5228906.43180253
-8518337.05387186,5228900.42436384
-8518330.38344432,5228891.02671685
-8518330.33301302,5228890.96161843
-8518322.08988119,5228880.30831991
-8518318.40708895,5228874.94939531
-8518312.76707447,5228866.8981586
-8518289.74576123,5228830.63018544
-8518284.51865935,5228821.88057973
-8518256.81147217,5228777.53627555
-8518255.52386107,5228775.43938958
-8518252.27955758,5228770.1585147
-8518246.5631068,5228760.76164218
-8518246.48295104,5228760.63295564
-8518231.06171905,5228735.88438921
-8518224.18675902,5228724.46858233
-8518209.58684615,5228700.96348417
-8518202.32530434,5228689.54727949
-8518197.25304092,5228680.7978699
-8518176.83384765,5228647.8700143
-8518171.81330589,5228639.1466103
-8518167.6676733,5228632.41613502
-8518163.21332389,5228625.01255906
-8518159.81486705,5228618.98132844
-8518153.17066041,5228609.58385244
-8518148.94726149,5228603.55200865
-8518143.66783223,5228596.17376867
-8518135.32420229,5228584.08409091
-8518131.07497866,5228578.05223578
-8518126.20755008,5228571.34704843
-8518121.67482893,5228565.31484776
-8518117.32263894,5228559.28292067
-8518113.30501882,5228553.92384343
-8518104.85681324,5228543.87824742
-8518096.48589676,5228533.83271284
-8518092.10738468,5228528.47336788
-8518088.32084504,5228524.48587291
-8518081.18586404,5228516.45946707
-8518077.34816519,5228511.77339916
-8518047.38966478,5228481.06377804
-8518022.01618238,5228455.68784788
-8518015.29016436,5228452.42257939
-8518008.95350523,5228445.74223756
-8518001.94812686,5228437.04321382
