x,y
-8515125.54195918,5228427.12889981
-8515127.07027333,5228420.29981963
-8515128.62501246,5228412.7980509
-8515130.15318676,5228405.96898033
-8515131.68146672,5228399.16572044
-8515133.28775716,5228391.66402276
-8515134.94488834,5228384.83510462
-8515136.55117375,5228377.33341762
-8515138.18316812,5228369.83176376
-8515139.63403139,5228363.02844544
-8515140.98108881,5228356.87193233
-8515143.05355971,5228347.32667262
-8515144.42643187,5228341.19613837
-8515146.57687964,5228330.97826124
-8515148.4675254,5228322.7782619
-8515151.13659061,5228309.81848929
-8515153.00135403,5228301.64442103
-8515154.50304039,5228295.51391649
-8515156.3169813,5228286.64115142
-8515162.32663157,5228259.35093506
-8515166.37195963,5228236.87128809
-8515169.55245986,5228214.48937342
-8515169.56650257,5228214.39064858
-8515170.39789009,5228208.28542341
-8515172.327135,5228187.87336328
-8515173.0841544,5228179.0255085
-8515180.58905977,5228102.81102659
-8515173.0841544,5228179.0255085
-8515172.327135,5228187.87336328
-8515170.39789009,5228208.28542341
-8515169.56650257,5228214.39064858
-8515169.55245986,5228214.48937342
-8515166.37195963,5228236.87128809
-8515162.32663157,5228259.35093506
-8515156.3169813,5228286.64115142
-8515154.50304039,5228295.51391649
-8515153.00135403,5228301.64442103
-8515151.13659061,5228309.81848929
-8515148.4675254,5228322.7782619
-8515146.57687964,5228330.97826124
-8515144.42643187,5228341.19613837
-8515143.05355971,5228347.32667262
-8515140.98108881,5228356.87193233
-8515139.63403139,5228363.02844544
-8515138.18316812,5228369.83176376
-8515136.55117375,5228377.33341762
-8515134.94488834,5228384.83510462
-8515133.28775716,5228391.66402276
-8515131.68146672,5228399.16572044
-8515130.15318676,5228405.96898033
-8515128.62501246,5228412.7980509
-8515127.07027333,5228420.29981963
-8515125.54195918,5228427.12889981
-8515124.0138056,5228433.93217873
-8515122.48548703,5228440.76126815
-8515124.0138056,5228433.93217873
-8515125.54195918,5228427.12889981
-8515127.07027333,5228420.29981963
-8515128.62501246,5228412.7980509
-8515130.15318676,5228405.96898033
-8515131.68146672,5228399.16572044
-8515133.28775716,5228391.66402276
-8515134.94488834,5228384.83510462
-8515136.55117375,5228377.33341762
-8515138.18316812,5228369.83176376
-8515139.63403139,5228363.02844544
-8515140.98108881,5228356.87193233
-8515143.05355971,5228347.32667262
-8515144.42643187,5228341.19613837
-8515146.57687964,5228330.97826124
-8515148.4675254,5228322.7782619
-8515151.13659061,5228309.81848929
-8515153.00135403,5228301.64442103
-8515154.50304039,5228295.51391649
-8515156.3169813,5228286.64115142
-8515162.32663157,5228259.35093506
-8515166.37195963,5228236.87128809
-8515169.55245986,5228214.48937342
-8515169.56650257,5228214.39064858
-8515163.87078547,5228213.14264732
-8515157.37657503,5228211.22108238
-8515152.02012003,5228205.88544785
-8515148.70187465,5228199.15469757
-8515147.65149828,5228193.04747172
-8515146.37841542,5228178.11729112
-8515142.53947224,5228079.01881257
-8515146.37841542,5228178.11729112
-8515147.65149828,5228193.04747172
-8515148.70187465,5228199.15469757
-8515152.02012003,5228205.88544785
-8515157.37657503,5228211.22108238
-8515163.87078547,5228213.14264732
-8515169.56650257,5228214.39064858
-8515884.60875155,5228382.45141598
-8515884.60702682,5228382.41637256
-8515883.7496235,5228364.80463469
-8515883.42244755,5228356.65400734
-8515876.38963198,5228210.36176642
-8515876.37451512,5228210.04719662
-8515866.47530408,5228210.21841635
-8515817.23553631,5228212.44624239
-8515753.40469339,5228214.94383186
-8515752.48420411,5228214.97550298
-8515712.54386602,5228216.35158173
-8515633.37357709,5228219.79010852
-8515611.56364932,5228220.85456559
-8515530.43476159,5228223.64332741
-8515500.63323637,5228224.85467896
-8515454.10020142,5228227.03151961
-8515431.10494565,5228227.44756318
-8515364.10242843,5228230.66354
-8515364.80590464,5228248.3100937
-8515369.56104529,5228360.99484407
-8515371.27118688,5228402.39474254
-8515372.15083274,5228424.12987774
-8515378.96057972,5228593.13045483
-8515381.75146338,5228662.39047082
-8515382.47903155,5228678.66044644
-8515385.59910112,5228731.45758945
-8515387.26544089,5228755.44954601
-8515385.59910112,5228731.45758945
-8515382.47903155,5228678.66044644
-8515381.75146338,5228662.39047082
-8515378.96057972,5228593.13045483
-8515372.15083274,5228424.12987774
-8515371.27118688,5228402.39474254
-8515369.56104529,5228360.99484407
-8515364.80590464,5228248.3100937
-8515364.10242843,5228230.66354
-8515364.09609933,5228230.50340345
-8515360.1832227,5228132.23735826
-8515357.01419606,5228059.69145459
-8515360.1832227,5228132.23735826
-8515364.09609933,5228230.50340345
-8515364.10242843,5228230.66354
-8515431.10494565,5228227.44756318
-8515454.10020142,5228227.03151961
-8515500.63323637,5228224.85467896
-8515530.43476159,5228223.64332741
-8515611.56364932,5228220.85456559
-8515633.37357709,5228219.79010852
-8515712.54386602,5228216.35158173
-8515752.48420411,5228214.97550298
-8515753.40469339,5228214.94383186
-8515817.23553631,5228212.44624239
-8515866.47530408,5228210.21841635
-8515876.37451512,5228210.04719662
-8515893.23477155,5228209.08072054
-8515998.23563414,5228205.17367783
-8516008.62801682,5228201.58752165
-8516009.14458392,5228201.26219944
-8516019.74537184,5228194.58664988
-8516052.24560666,5228175.00639034
-8516135.24746217,5228315.50223261
-8516135.29407406,5228315.58010222
-8516162.5811837,5228361.19571017
-8516178.59019197,5228388.09403839
-8516218.01520075,5228454.60076636
-8516218.04668107,5228454.6539027
-8516223.93086243,5228464.9529071
-8516288.23598232,5228572.96598924
-8516300.23222292,5228593.76554341
-8516300.25559629,5228593.8061768
-8516306.79293926,5228605.2230483
-8516335.87946662,5228652.93728229
-8516374.15287775,5228718.85028546
-8516376.39017158,5228724.90707587
-8516375.79081693,5228731.71164229
-8516372.40791751,5228737.89260411
-8516367.04175523,5228742.05333457
-8516293.32014876,5228786.17813433
-8516286.27824755,5228790.36319412
-8516269.45957411,5228800.85245062
