x,y
-8516928.21492805,5225274.23037646
-8516932.75421787,5225270.06997241
-8516941.00692653,5225263.11937036
-8517052.62359931,5225169.4551792
-8517057.265288,5225165.96734246
-8517116.1502452,5225121.91316013
-8517134.44560802,5225108.22546309
-8517215.25826025,5225051.10700595
-8517253.62765314,5225023.25730525
-8517296.43343453,5224990.5745041
-8517333.61802443,5224961.40449685
-8517361.75261669,5224937.81361865
-8517392.72571243,5224909.4142894
-8517429.99322071,5224872.74356189
-8517456.22198839,5224847.15956473
-8517472.70654943,5224829.44344124
-8517472.93536201,5224829.19761394
-8517530.0413179,5224765.02371953
-8517589.13669223,5224693.35086956
-8517847.95422463,5224406.23924459
-8518031.27076616,5224202.63344401
-8518060.02647272,5224170.19787373
-8518105.32275495,5224118.70880836
-8518105.54545256,5224118.45578406
-8518143.32547723,5224077.72536069
-8518226.41323374,5223989.9855134
-8518239.84820771,5223976.18521095
-8518252.50900425,5223963.72915369
-8518271.15244924,5223945.04474205
-8518289.71694158,5223928.42921314
-8518307.12142891,5223912.48523051
-8518324.37024117,5223897.93779505
-8518348.0643049,5223878.4812048
-8518411.07018502,5223834.9501162
-8518348.0643049,5223878.4812048
-8518324.37024117,5223897.93779505
-8518307.12142891,5223912.48523051
-8518289.71694158,5223928.42921314
-8518271.15244924,5223945.04474205
-8518252.50900425,5223963.72915369
-8518239.84820771,5223976.18521095
-8518226.41323374,5223989.9855134
-8518143.32547723,5224077.72536069
-8518105.54545256,5224118.45578406
-8518105.32275495,5224118.70880836
-8518060.02647272,5224170.19787373
-8518031.27076616,5224202.63344401
-8517847.95422463,5224406.23924459
-8517589.13669223,5224693.35086956
-8517530.0413179,5224765.02371953
-8517472.93536201,5224829.19761394
-8517472.70654943,5224829.44344124
-8517456.22198839,5224847.15956473
-8517429.99322071,5224872.74356189
-8517392.72571243,5224909.4142894
-8517361.75261669,5224937.81361865
-8517333.61802443,5224961.40449685
-8517296.43343453,5224990.5745041
-8517253.62765314,5225023.25730525
-8517215.25826025,5225051.10700595
-8517134.44560802,5225108.22546309
-8517116.1502452,5225121.91316013
-8517057.265288,5225165.96734246
-8517052.62359931,5225169.4551792
-8516941.00692653,5225263.11937036
-8516932.75421787,5225270.06997241
-8516928.21492805,5225274.23037646
-8516919.96163495,5225281.82754266
-8516909.1288025,5225292.21590162
-8516901.26136127,5225300.51170607
-8516896.64348343,5225306.01704435
-8516886.27329263,5225317.75081922
-8516880.72657643,5225324.6261439
-8516865.14082888,5225347.32244701
-8516859.87628575,5225355.56884117
-8516855.07501872,5225364.48829351
-8516850.19649732,5225373.40754733
-8516845.83327518,5225382.30160291
-8516837.18071332,5225404.17631613
-8516834.02864071,5225413.07133658
-8516829.01394784,5225430.13830433
-8516826.27254929,5225441.05124888
-8516824.30549429,5225450.594071
-8516822.5458184,5225458.766126
-8516820.44513715,5225473.76662722
-8516819.14514783,5225486.67251697
-8516818.41091156,5225500.94989538
-8516818.74345746,5225532.86905131
-8516818.90812963,5225550.56163219
-8516819.21621112,5225581.084155
-8516819.4918242,5225589.90472415
-8516819.76816818,5225598.05291445
-8516819.91739529,5225604.15749249
-8516820.37347907,5225612.9782438
-8516821.08487712,5225624.51540146
-8516820.37347907,5225612.9782438
-8516819.91739529,5225604.15749249
-8516819.76816818,5225598.05291445
-8516819.4918242,5225589.90472415
-8516819.21621112,5225581.084155
-8516818.90812963,5225550.56163219
-8516818.74345746,5225532.86905131
-8516818.41091156,5225500.94989538
-8516819.14514783,5225486.67251697
-8516820.44513715,5225473.76662722
-8516822.5458184,5225458.766126
-8516824.30549429,5225450.594071
