x,y
-8518516.03225633,5227391.88519186
-8518507.19360555,5227387.97228846
-8518500.70023315,5227384.70789737
-8518492.81588832,5227380.097212
-8518481.91657271,5227374.16487252
-8518475.9646102,5227370.87505315
-8518467.6673687,5227366.96250884
-8518454.65535672,5227359.7092755
-8518444.0658672,5227353.13041938
-8518434.22547406,5227344.45647541
-8518430.20720761,5227340.46944509
-8518426.24051576,5227336.45664883
-8518422.24908232,5227331.09840811
-8518418.56733476,5227325.04194427
-8518415.01502351,5227318.31293183
-8518411.97776078,5227312.25693905
-8518409.45602767,5227306.20132184
-8518406.4727768,5227296.7304169
-8518404.67280482,5227290.64939148
-8518402.95009608,5227284.56856131
-8518400.30250018,5227274.42527734
-8518396.88243812,5227262.96196559
-8518393.22804729,5227254.86169595
-8518390.18983188,5227250.17695357
-8518390.17388081,5227250.1557565
-8518385.11669163,5227243.4726827
-8518379.75960428,5227237.44084638
-8518371.28362917,5227231.48442392
-8518365.04819009,5227228.1943775
-8518359.27559798,5227226.27574384
-8518353.06453134,5227225.02942529
-8518346.28625765,5227223.78268896
-8518338.47655336,5227223.25957364
-8518332.72834884,5227223.35885565
-8518332.61388035,5227223.35659909
-8518296.9515493,5227222.6340551
-8518288.70309678,5227222.78321384
-8518253.2867902,5227222.75708898
-8518247.66753309,5227222.85641441
-8518238.87621116,5227225.04897978
-8518245.88679324,5227260.91101395
-8518247.50678639,5227266.31927673
-8518250.12752,5227277.80785829
-8518251.28339216,5227283.24158954
-8518252.97717747,5227293.38421938
-8518254.82511132,5227304.22555591
-8518255.64547153,5227310.33169745
-8518257.18360225,5227321.8454684
-8518258.07788881,5227332.68613166
-8518258.92047049,5227343.55243624
-8518259.01611788,5227353.71988688
-8518259.06019364,5227363.91311339
-8518258.90204307,5227368.67327356
-8518258.85846084,5227370.166023
-8518258.74339879,5227374.10621991
-8518257.72072146,5227397.90689842
-8518255.95871054,5227445.48283902
-8518255.58536257,5227462.48008043
-8518255.11240012,5227474.71694617
-8518255.08021593,5227483.5389938
-8518255.8850013,5227510.70458509
-8518256.71728976,5227535.80068708
-8518261.9766068,5227604.98543012
-8518263.85226913,5227648.42559499
-8518261.9766068,5227604.98543012
-8518256.71728976,5227535.80068708
-8518255.8850013,5227510.70458509
-8518255.08021593,5227483.5389938
-8518255.11240012,5227474.71694617
-8518255.58536257,5227462.48008043
-8518255.95871054,5227445.48283902
-8518257.72072146,5227397.90689842
-8518258.74339879,5227374.10621991
-8518258.85846084,5227370.166023
-8518258.90204307,5227368.67327356
-8518259.06019364,5227363.91311339
-8518259.01611788,5227353.71988688
-8518258.92047049,5227343.55243624
-8518258.07788881,5227332.68613166
-8518257.18360225,5227321.8454684
-8518255.64547153,5227310.33169745
-8518254.82511132,5227304.22555591
-8518252.97717747,5227293.38421938
-8518251.28339216,5227283.24158954
-8518250.12752,5227277.80785829
-8518247.50678639,5227266.31927673
-8518245.88679324,5227260.91101395
-8518238.87621116,5227225.04897978
-8518238.86192251,5227224.97563495
-8518236.89900338,5227214.88027128
-8518232.78777109,5227197.31099232
-8518231.09303368,5227188.51373067
-8518228.6547319,5227174.28310776
-8518227.81118963,5227164.78792628
-8518227.66089757,5227158.6823727
-8518227.9014686,5227147.11850872
-8518228.88645908,5227139.64260678
-8518229.71730759,5227131.46816233
-8518229.77829754,5227130.96207053
-8518230.7028094,5227123.29383954
-8518237.91454105,5227060.69285709
-8518246.41299154,5227000.75791763
-8518255.94917268,5227001.95485989
-8518292.31480437,5227006.74190472
-8518434.60790047,5227025.91168054
-8518462.05637942,5227029.47568958
-8518599.86845755,5227043.98329746
