x,y
-8517061.37352314,5226862.38500336
-8517070.2274631,5226877.16421304
-8517085.96715303,5226917.63832126
-8517070.2274631,5226877.16421304
-8517061.37352314,5226862.38500336
-8517045.72516147,5226835.64800091
-8516998.11862102,5226776.15820226
-8516959.26442602,5226730.0505879
-8516937.04157487,5226706.36071857
-8516856.23334253,5226623.585376
-8516844.67177437,5226616.69162839
-8516832.52344602,5226609.93558889
-8516825.52094214,5226605.48042402
-8516818.01817459,5226604.00931873
-8516803.43891498,5226602.6573629
-8516783.62153476,5226603.93675345
-8516755.8346009,5226605.42513154
-8516647.91611793,5226612.24537477
-8516609.16620665,5226615.75728382
-8516548.80015174,5226618.18534057
-8516414.58697239,5226623.98479105
-8516363.73181804,5226626.23953321
-8516363.65821218,5226626.24299469
-8516318.52127077,5226628.39572456
-8516249.85488595,5226631.66776905
-8516226.92335863,5226632.05777392
-8516226.81214098,5226632.05970468
-8516226.10368674,5226632.08971815
-8516170.59569087,5226634.43756363
-8516118.09069873,5226636.71519795
-8516083.34546096,5226638.00081904
-8516033.108742,5226640.2543789
-8516008.80983459,5226641.35897824
-8516008.59605247,5226641.3686823
-8515965.52538449,5226642.82687649
-8515883.58396041,5226646.98855588
-8515840.04930761,5226648.44571719
-8515817.52063734,5226650.20829568
-8515817.28980687,5226650.21824998
-8515790.99732593,5226651.34582803
-8515743.90171249,5226653.05712879
-8515790.99732593,5226651.34582803
-8515817.28980687,5226650.21824998
-8515817.52063734,5226650.20829568
-8515840.04930761,5226648.44571719
-8515883.58396041,5226646.98855588
-8515965.52538449,5226642.82687649
-8516008.59605247,5226641.3686823
-8516008.80983459,5226641.35897824
-8516033.108742,5226640.2543789
-8516083.34546096,5226638.00081904
-8516118.09069873,5226636.71519795
-8516170.59569087,5226634.43756363
-8516226.10368674,5226632.08971815
-8516226.81214098,5226632.05970468
-8516226.92335863,5226632.05777392
-8516249.85488595,5226631.66776905
-8516318.52127077,5226628.39572456
-8516363.65821218,5226626.24299469
-8516363.73181804,5226626.23953321
-8516414.58697239,5226623.98479105
-8516548.80015174,5226618.18534057
-8516609.16620665,5226615.75728382
-8516647.91611793,5226612.24537477
-8516755.8346009,5226605.42513154
-8516783.62153476,5226603.93675345
-8516803.43891498,5226602.6573629
-8516818.01817459,5226604.00931873
-8516825.52094214,5226605.48042402
-8516832.52344602,5226609.93558889
-8516844.67177437,5226616.69162839
-8516856.23334253,5226623.585376
-8516937.04157487,5226706.36071857
-8516959.26442602,5226730.0505879
-8516998.11862102,5226776.15820226
-8517045.72516147,5226835.64800091
-8517061.37352314,5226862.38500336
-8516865.42357722,5226870.64665173
-8516758.27270104,5226874.58682736
-8516619.08141764,5226880.46255146
-8516619.03703682,5226880.46427632
-8516516.00284978,5226884.35181647
-8516373.40828233,5226890.94512411
-8516373.16418653,5226890.95548722
-8516236.8713502,5226896.76596176
-8516236.7254881,5226896.77193363
-8516179.36457534,5226899.14270804
-8516127.68306107,5226901.42124892
-8516127.48551071,5226901.42974941
-8516018.43240469,5226906.09816157
-8516018.3655622,5226906.10108387
-8515966.7613909,5226908.35288109
-8515842.36505149,5226913.27455074
-8515827.49174231,5226914.21684879
-8515782.15153847,5226915.72372218
-8515679.25264016,5226919.57822068
-8515782.15153847,5226915.72372218
-8515827.49174231,5226914.21684879
-8515842.36505149,5226913.27455074
-8515966.7613909,5226908.35288109
-8516018.3655622,5226906.10108387
-8516018.43240469,5226906.09816157
-8516127.48551071,5226901.42974941
-8516127.68306107,5226901.42124892
-8516179.36457534,5226899.14270804
-8516236.7254881,5226896.77193363
-8516236.8713502,5226896.76596176
-8516373.16418653,5226890.95548722
-8516373.40828233,5226890.94512411
-8516516.00284978,5226884.35181647
-8516619.03703682,5226880.46427632
-8516619.08141764,5226880.46255146
-8516758.27270104,5226874.58682736
-8516865.42357722,5226870.64665173
-8517061.37352314,5226862.38500336
-8517070.2274631,5226877.16421304
-8517085.96715303,5226917.63832126
-8517070.2274631,5226877.16421304
-8517061.37352314,5226862.38500336
-8517045.72516147,5226835.64800091
-8516998.11862102,5226776.15820226
-8516959.26442602,5226730.0505879
-8516937.04157487,5226706.36071857
-8516856.23334253,5226623.585376
-8516855.40857418,5226602.07953525
-8516854.92358277,5226588.97133808
-8516854.12984163,5226553.76296747
-8516853.17958703,5226512.39374711
-8516852.19376593,5226469.48070305
-8516850.09940793,5226389.3639244
-8516842.40187077,5226176.97532181
-8516842.40015429,5226176.92738669
-8516839.27977248,5226091.4316792
-8516836.4417135,5226007.25601988
-8516836.43855015,5226007.16137365
-8516832.04551624,5225878.30382634
-8516828.96257727,5225750.67367377
-8516824.92174733,5225686.23614504
-8516824.38840795,5225677.41525751
-8516824.0381851,5225672.02751872
-8516824.00802059,5225671.56406764
-8516822.22714251,5225644.17487022
-8516821.74475646,5225636.02645702
-8516821.08487712,5225624.51540146
-8516820.37347907,5225612.9782438
-8516819.91739529,5225604.15749249
-8516819.76816818,5225598.05291445
-8516819.4918242,5225589.90472415
-8516819.21621112,5225581.084155
-8516818.90812963,5225550.56163219
-8516819.21621112,5225581.084155
-8516819.4918242,5225589.90472415
-8516819.76816818,5225598.05291445
-8516819.91739529,5225604.15749249
-8516820.37347907,5225612.9782438
-8516821.08487712,5225624.51540146
-8516821.74475646,5225636.02645702
-8516822.22714251,5225644.17487022
-8516824.00802059,5225671.56406764
-8516824.0381851,5225672.02751872
-8516824.38840795,5225677.41525751
-8516824.92174733,5225686.23614504
-8516828.96257727,5225750.67367377
-8516832.04551624,5225878.30382634
-8516836.43855015,5226007.16137365
-8516836.4417135,5226007.25601988
-8516839.27977248,5226091.4316792
-8516842.40015429,5226176.92738669
