x,y
-8514138.69072106,5227513.87546277
-8514132.42673308,5227513.99751629
-8514126.16277529,5227514.09362631
-8514117.91400871,5227514.23913578
-8514109.63874505,5227515.05726501
-8514102.36936182,5227515.20378029
-8514096.7765547,5227514.60220114
-8514089.6884963,5227514.0505948
-8514082.11311571,5227511.48029686
-8514076.47033866,5227509.53319515
-8514067.60691535,5227506.28884091
-8514059.18163618,5227503.04486282
-8514059.11820938,5227503.01572473
-8514050.65404732,5227499.12823561
-8514043.15611765,5227496.53219868
-8514034.96357178,5227492.6158217
-8514027.05401691,5227489.34662843
-8514018.70778329,5227484.73159799
-8514012.24160266,5227481.4641114
-8514007.03940997,5227477.47372795
-8514000.88418036,5227472.83535629
-8513994.60110257,5227467.49837212
-8513987.44225484,5227461.51362709
-8513979.66464096,5227455.52800615
-8513971.70677256,5227449.56810647
-8513960.5798862,5227442.28491305
-8513955.7376754,5227438.96773663
-8513949.22012994,5227435.70002519
-8513940.4864343,5227431.78307921
-8513940.45235452,5227431.76755639
-8513928.91902627,5227426.54322937
-8513918.79338152,5227422.65040162
-8513908.64286901,5227418.05894414
-8513902.69069828,5227416.13732489
-8513894.42024586,5227412.86761276
-8513887.59342082,5227409.59963151
-8513879.4518988,5227406.35586686
-8513871.28456903,5227403.08626192
-8513863.091505,5227399.84255905
-8513857.08863857,5227397.22226449
-8513851.00848253,5227394.62781257
-8513845.23767868,5227392.00792779
-8513807.10723249,5227376.36145081
-8513801.31057677,5227373.76731599
-8513793.01364638,5227371.19594849
-8513786.31326913,5227369.94600538
-8513786.24385772,5227369.94401983
-8513786.31326913,5227369.94600538
-8513793.01364638,5227371.19594849
-8513801.31057677,5227373.76731599
-8513807.10723249,5227376.36145081
-8513845.23767868,5227392.00792779
-8513851.00848253,5227394.62781257
-8513857.08863857,5227397.22226449
-8513863.091505,5227399.84255905
-8513871.28456903,5227403.08626192
-8513879.4518988,5227406.35586686
-8513887.59342082,5227409.59963151
-8513894.42024586,5227412.86761276
-8513902.69069828,5227416.13732489
-8513908.64286901,5227418.05894414
-8513918.79338152,5227422.65040162
-8513928.91902627,5227426.54322937
-8513940.45235452,5227431.76755639
-8513940.4864343,5227431.78307921
-8513949.22012994,5227435.70002519
-8513955.7376754,5227438.96773663
-8513960.5798862,5227442.28491305
-8513971.70677256,5227449.56810647
-8513979.66464096,5227455.52800615
-8513987.44225484,5227461.51362709
-8513994.60110257,5227467.49837212
-8514000.88418036,5227472.83535629
-8514007.03940997,5227477.47372795
-8514012.24160266,5227481.4641114
-8514018.70778329,5227484.73159799
-8514027.05401691,5227489.34662843
-8514034.96357178,5227492.6158217
-8514043.15611765,5227496.53219868
-8514050.65404732,5227499.12823561
-8514059.11820938,5227503.01572473
-8514059.18163618,5227503.04486282
-8514067.60691535,5227506.28884091
-8514076.47033866,5227509.53319515
-8514082.11311571,5227511.48029686
-8514089.6884963,5227514.0505948
-8514096.7765547,5227514.60220114
-8514102.36936182,5227515.20378029
-8514109.63874505,5227515.05726501
-8514117.91400871,5227514.23913578
-8514126.16277529,5227514.09362631
-8514132.42673308,5227513.99751629
-8514138.69072106,5227513.87546277
-8514144.92883411,5227513.77931404
-8514151.19268648,5227513.65725204
-8514157.45664359,5227513.56126119
-8514163.66894201,5227513.43913035
-8514172.56219556,5227513.29433676
-8514181.42963454,5227513.12356514
-8514190.29782485,5227512.30620315
-8514199.21695157,5227512.13547533
