x,y
-8515736.53288243,5227870.17487196
-8515644.54983106,5227873.82821821
-8515617.09518545,5227874.99039917
-8515616.76716611,5227875.00174468
-8515496.68239329,5227879.16168873
-8515486.47347054,5227880.03080769
-8515417.77224704,5227882.96076509
-8515349.92190746,5227885.83936888
-8515351.55644241,5227925.21907134
-8515356.63305849,5228050.78519745
-8515357.01062885,5228059.60833146
-8515357.01419606,5228059.69145459
-8515360.1832227,5228132.23735826
-8515364.09609933,5228230.50340345
-8515360.1832227,5228132.23735826
-8515357.01419606,5228059.69145459
-8515357.01062885,5228059.60833146
-8515356.63305849,5228050.78519745
-8515351.55644241,5227925.21907134
-8515349.92190746,5227885.83936888
-8515349.91847795,5227885.7540744
-8515348.66550525,5227854.60995669
-8515340.34057641,5227642.25820908
-8515325.58961051,5227628.41306074
-8515333.07232292,5227598.91192491
-8515334.94973502,5227586.8843098
-8515337.77237784,5227547.10949724
-8515338.68088819,5227540.97882497
-8515340.18249572,5227534.82297506
-8515342.37914672,5227529.36645646
-8515472.83414929,5227523.65920194
-8515472.91953482,5227523.65548766
-8515603.32874464,5227519.9863579
-8515603.4102051,5227519.9835891
-8515723.04573033,5227515.84357998
-8515723.16995078,5227515.83922355
-8515745.10706179,5227514.77471412
-8515802.02487512,5227512.39987858
-8515813.88244981,5227512.17881607
-8515822.05459377,5227511.35908649
-8515848.47301562,5227510.89486903
-8515848.52795314,5227510.89383722
-8515962.7236487,5227506.84152529
-8516040.856663,5227503.39947401
-8516150.10296896,5227499.41761473
-8516291.365152,5227494.19712467
-8516395.49416449,5227489.65048621
-8516395.76560992,5227489.63865361
-8516485.54975389,5227485.99685529
-8516587.17117696,5227482.14504984
-8516587.500671,5227482.13258588
-8516696.40617811,5227478.17097508
-8516696.43716531,5227478.16991665
-8516752.37498776,5227475.81439827
-8516887.60612923,5227469.0013328
-8517051.71759373,5227461.83699679
-8517051.77862053,5227461.83514841
-8517051.71759373,5227461.83699679
-8516887.60612923,5227469.0013328
-8516752.37498776,5227475.81439827
-8516696.43716531,5227478.16991665
-8516696.40617811,5227478.17097508
-8516587.500671,5227482.13258588
-8516587.17117696,5227482.14504984
-8516485.54975389,5227485.99685529
-8516395.76560992,5227489.63865361
-8516395.49416449,5227489.65048621
-8516291.365152,5227494.19712467
-8516150.10296896,5227499.41761473
-8516040.856663,5227503.39947401
-8515962.7236487,5227506.84152529
-8515848.52795314,5227510.89383722
-8515848.47301562,5227510.89486903
-8515822.05459377,5227511.35908649
-8515813.88244981,5227512.17881607
-8515802.02487512,5227512.39987858
-8515745.10706179,5227514.77471412
-8515723.16995078,5227515.83922355
-8515723.04573033,5227515.84357998
-8515603.4102051,5227519.9835891
-8515603.32874464,5227519.9863579
-8515472.91953482,5227523.65548766
-8515472.83414929,5227523.65920194
-8515342.37914672,5227529.36645646
-8515340.18249572,5227534.82297506
-8515338.68088819,5227540.97882497
-8515337.77237784,5227547.10949724
-8515334.94973502,5227586.8843098
-8515333.07232292,5227598.91192491
-8515325.58961051,5227628.41306074
-8515312.77337413,5227641.28224952
-8515299.94560122,5227657.12825093
-8515291.96954268,5227667.46859541
-8515285.4650337,5227675.71480394
-8515281.77233894,5227681.89436405
-8515279.5491761,5227688.0495379
-8515278.25087695,5227696.92231523
-8515277.74694243,5227710.50450643
-8515278.22810535,5227718.65476611
-8515279.53289933,5227728.1253085
-8515282.37082052,5227750.50771969
-8515285.97772011,5227776.92705294
-8515286.02074247,5227785.07677094
-8515284.46623116,5227792.57820895
-8515280.56656475,5227799.43016829
-8515275.58575046,5227804.96157219
-8515264.88134435,5227811.26309703
-8515249.43445981,5227816.96459991
-8515241.18185399,5227820.52623675
-8515234.94139846,5227822.66695626
-8515226.68810092,5227826.87545759
-8515221.73439578,5227831.03571209
-8515216.9597523,5227836.56732212
-8515211.74323915,5227845.48767495
-8515208.09911898,5227854.38403611
-8515206.23735869,5227859.84106501
-8515202.37766316,5227877.58544735
-8515201.28636147,5227885.75998542
-8515197.42885047,5227925.8842434
-8515196.64616382,5227934.73197426
-8515191.45958618,5227988.48988458
-8515190.62604352,5227996.66492656
-8515184.68155302,5228059.94375017
-8515183.84802574,5228068.092776
-8515180.58905977,5228102.81102659
-8515173.0841544,5228179.0255085
-8515172.327135,5228187.87336328
-8515173.0841544,5228179.0255085
-8515180.58905977,5228102.81102659
-8515183.84802574,5228068.092776
-8515184.68155302,5228059.94375017
-8515190.62604352,5227996.66492656
-8515191.45958618,5227988.48988458
-8515196.64616382,5227934.73197426
-8515197.42885047,5227925.8842434
-8515201.28636147,5227885.75998542
-8515202.37766316,5227877.58544735
-8515206.23735869,5227859.84106501
-8515208.09911898,5227854.38403611
-8515211.74323915,5227845.48767495
-8515216.9597523,5227836.56732212
-8515221.73439578,5227831.03571209
-8515226.68810092,5227826.87545759
-8515234.94139846,5227822.66695626
-8515241.18185399,5227820.52623675
-8515249.43445981,5227816.96459991
-8515264.88134435,5227811.26309703
-8515275.58575046,5227804.96157219
-8515280.56656475,5227799.43016829
-8515284.46623116,5227792.57820895
-8515286.02074247,5227785.07677094
-8515285.97772011,5227776.92705294
-8515282.37082052,5227750.50771969
-8515279.53289933,5227728.1253085
-8515278.22810535,5227718.65476611
-8515277.74694243,5227710.50450643
-8515278.25087695,5227696.92231523
-8515279.5491761,5227688.0495379
-8515281.77233894,5227681.89436405
-8515285.4650337,5227675.71480394
-8515291.96954268,5227667.46859541
-8515299.94560122,5227657.12825093
-8515312.77337413,5227641.28224952
-8515325.58961051,5227628.41306074
-8515340.34057641,5227642.25820908
-8515348.66550525,5227854.60995669
-8515349.91847795,5227885.7540744
-8515349.92190746,5227885.83936888
-8515417.77224704,5227882.96076509
-8515486.47347054,5227880.03080769
-8515496.68239329,5227879.16168873
-8515616.76716611,5227875.00174468
-8515617.09518545,5227874.99039917
-8515644.54983106,5227873.82821821
-8515736.53288243,5227870.17487196
-8515736.6579201,5227870.16983695
-8515756.45633325,5227869.1290485
-8515813.71144927,5227866.75439358
-8515822.06360937,5227866.60749642
-8515860.31937385,5227865.24847901
-8515860.3181268,5227865.14091369
-8515860.08101897,5227845.55928245
-8515859.99314537,5227830.11333643
-8515859.88044751,5227813.63263523
-8515859.30302067,5227798.03102086
-8515849.45549057,5227537.36136937
-8515849.20576995,5227529.21165947
-8515848.52795314,5227510.89383722
-8515848.52519061,5227510.81384345
-8515845.32174006,5227416.53768989
-8515841.81028819,5227318.1204988
-8515841.72177894,5227315.6737399
-8515839.50196353,5227254.2947383
-8515835.50179504,5227181.02488821
-8515916.31291763,5227177.53477794
-8516028.62348915,5227172.83311374
-8516028.65325779,5227172.83192055
-8516089.4056174,5227170.40879037
-8516137.58139432,5227168.19559682
-8516137.94403217,5227168.17897105
-8516248.93972357,5227163.49935442
-8516382.82167962,5227157.71534419
-8516383.13479159,5227157.70178601
-8516521.04085205,5227152.52676408
-8516628.7898498,5227147.9036423
-8516629.07197461,5227147.89154152
-8516780.82087995,5227141.12123055
-8516874.80317602,5227137.40206985
-8516876.84618581,5227188.31719773
-8516880.17285213,5227274.52146879
-8516880.17907578,5227274.67602021
-8516883.45220737,5227355.96620147
-8516887.6025605,5227468.90490624
-8516887.60612923,5227469.0013328
-8516890.51649269,5227530.39701728
-8516890.79295246,5227538.5468602
-8516893.56825121,5227607.10913178
-8516900.07314775,5227771.31032666
-8516900.0747364,5227771.35039257
-8516900.78221676,5227787.65049651
-8516901.67780861,5227854.0914922
-8516902.45346883,5227880.76671736
-8516902.66140619,5227908.29524142
-8516901.43489638,5227925.2666939
-8516898.90924792,5227954.06062407
-8516892.80314729,5228022.22823652
-8516884.74386448,5228056.99617784
-8516881.15094506,5228068.14430928
-8516877.19859982,5228077.45508322
-8516873.60632508,5228087.69761244
-8516869.88580997,5228097.2674741
-8516867.32839219,5228103.42299424
-8516864.641396,5228110.27690805
-8516861.92916509,5228116.43229777
-8516859.0881057,5228122.58771213
-8516856.16975211,5228128.76873037
-8516853.25128215,5228134.92394636
-8516850.38509421,5228140.40650953
-8516847.31251626,5228145.91483258
-8516844.29105628,5228152.06996529
-8516841.11537954,5228157.55226025
-8516837.91396526,5228163.06047551
-8516834.68685923,5228168.54272883
-8516829.21314396,5228178.16270508
-8516823.50823064,5228187.08397072
-8516817.75099528,5228196.70370622
-8516813.80144325,5228202.88383929
-8516809.85175063,5228209.0641104
-8516805.79893798,5228215.24415591
-8516801.72038592,5228221.45012196
-8516797.61614031,5228227.63026179
-8516793.43448529,5228233.81033459
-8516797.61614031,5228227.63026179
-8516801.72038592,5228221.45012196
-8516805.79893798,5228215.24415591
-8516809.85175063,5228209.0641104
-8516813.80144325,5228202.88383929
-8516817.75099528,5228196.70370622
-8516823.50823064,5228187.08397072
-8516829.21314396,5228178.16270508
-8516834.68685923,5228168.54272883
-8516837.91396526,5228163.06047551
-8516841.11537954,5228157.55226025
-8516844.29105628,5228152.06996529
-8516847.31251626,5228145.91483258
-8516850.38509421,5228140.40650953
-8516853.25128215,5228134.92394636
-8516856.16975211,5228128.76873037
-8516859.0881057,5228122.58771213
-8516861.92916509,5228116.43229777
-8516864.641396,5228110.27690805
-8516867.32839219,5228103.42299424
-8516869.88580997,5228097.2674741
-8516873.60632508,5228087.69761244
-8516877.19859982,5228077.45508322
-8516881.15094506,5228068.14430928
-8516884.74386448,5228056.99617784
-8516892.80314729,5228022.22823652
-8516884.74386448,5228056.99617784
-8516881.15094506,5228068.14430928
-8516877.19859982,5228077.45508322
-8516873.60632508,5228087.69761244
-8516869.88580997,5228097.2674741
-8516867.32839219,5228103.42299424
-8516864.641396,5228110.27690805
-8516861.92916509,5228116.43229777
-8516859.0881057,5228122.58771213
-8516856.16975211,5228128.76873037
-8516853.25128215,5228134.92394636
-8516850.38509421,5228140.40650953
-8516847.31251626,5228145.91483258
-8516844.29105628,5228152.06996529
-8516841.11537954,5228157.55226025
-8516837.91396526,5228163.06047551
-8516834.68685923,5228168.54272883
-8516829.21314396,5228178.16270508
-8516823.50823064,5228187.08397072
-8516817.75099528,5228196.70370622
-8516813.80144325,5228202.88383929
-8516809.85175063,5228209.0641104
-8516805.79893798,5228215.24415591
-8516801.72038592,5228221.45012196
-8516797.61614031,5228227.63026179
-8516793.43448529,5228233.81033459
-8516797.61614031,5228227.63026179
-8516801.72038592,5228221.45012196
-8516805.79893798,5228215.24415591
-8516809.85175063,5228209.0641104
-8516813.80144325,5228202.88383929
-8516817.75099528,5228196.70370622
-8516823.50823064,5228187.08397072
-8516829.21314396,5228178.16270508
-8516834.68685923,5228168.54272883
-8516837.91396526,5228163.06047551
-8516841.11537954,5228157.55226025
-8516844.29105628,5228152.06996529
-8516847.31251626,5228145.91483258
-8516850.38509421,5228140.40650953
-8516853.25128215,5228134.92394636
-8516856.16975211,5228128.76873037
-8516859.0881057,5228122.58771213
-8516861.92916509,5228116.43229777
-8516864.641396,5228110.27690805
-8516867.32839219,5228103.42299424
-8516869.88580997,5228097.2674741
-8516873.60632508,5228087.69761244
-8516877.19859982,5228077.45508322
-8516881.15094506,5228068.14430928
-8516884.74386448,5228056.99617784
-8516892.80314729,5228022.22823652
-8516884.74386448,5228056.99617784
-8516881.15094506,5228068.14430928
-8516877.19859982,5228077.45508322
-8516873.60632508,5228087.69761244
-8516869.88580997,5228097.2674741
-8516867.32839219,5228103.42299424
-8516864.641396,5228110.27690805
-8516861.92916509,5228116.43229777
-8516859.0881057,5228122.58771213
-8516856.16975211,5228128.76873037
-8516853.25128215,5228134.92394636
-8516850.38509421,5228140.40650953
-8516847.31251626,5228145.91483258
-8516844.29105628,5228152.06996529
-8516841.11537954,5228157.55226025
-8516837.91396526,5228163.06047551
-8516834.68685923,5228168.54272883
-8516829.21314396,5228178.16270508
-8516823.50823064,5228187.08397072
-8516817.75099528,5228196.70370622
-8516813.80144325,5228202.88383929
-8516809.85175063,5228209.0641104
-8516805.79893798,5228215.24415591
-8516801.72038592,5228221.45012196
-8516797.61614031,5228227.63026179
-8516793.43448529,5228233.81033459
-8516797.61614031,5228227.63026179
-8516801.72038592,5228221.45012196
-8516805.79893798,5228215.24415591
-8516809.85175063,5228209.0641104
-8516813.80144325,5228202.88383929
-8516817.75099528,5228196.70370622
-8516823.50823064,5228187.08397072
-8516829.21314396,5228178.16270508
-8516834.68685923,5228168.54272883
-8516837.91396526,5228163.06047551
-8516841.11537954,5228157.55226025
-8516844.29105628,5228152.06996529
-8516847.31251626,5228145.91483258
-8516850.38509421,5228140.40650953
-8516853.25128215,5228134.92394636
-8516856.16975211,5228128.76873037
-8516859.0881057,5228122.58771213
-8516861.92916509,5228116.43229777
-8516864.641396,5228110.27690805
-8516867.32839219,5228103.42299424
-8516869.88580997,5228097.2674741
-8516873.60632508,5228087.69761244
-8516877.19859982,5228077.45508322
-8516881.15094506,5228068.14430928
-8516884.74386448,5228056.99617784
-8516892.80314729,5228022.22823652
-8516884.74386448,5228056.99617784
-8516881.15094506,5228068.14430928
-8516877.19859982,5228077.45508322
-8516873.60632508,5228087.69761244
-8516869.88580997,5228097.2674741
-8516867.32839219,5228103.42299424
-8516864.641396,5228110.27690805
-8516861.92916509,5228116.43229777
-8516859.0881057,5228122.58771213
-8516856.16975211,5228128.76873037
-8516853.25128215,5228134.92394636
-8516850.38509421,5228140.40650953
-8516847.31251626,5228145.91483258
-8516844.29105628,5228152.06996529
-8516841.11537954,5228157.55226025
-8516837.91396526,5228163.06047551
-8516834.68685923,5228168.54272883
-8516829.21314396,5228178.16270508
-8516823.50823064,5228187.08397072
-8516817.75099528,5228196.70370622
-8516813.80144325,5228202.88383929
-8516809.85175063,5228209.0641104
-8516805.79893798,5228215.24415591
-8516801.72038592,5228221.45012196
-8516797.61614031,5228227.63026179
-8516793.43448529,5228233.81033459
-8516797.61614031,5228227.63026179
-8516801.72038592,5228221.45012196
-8516805.79893798,5228215.24415591
-8516809.85175063,5228209.0641104
-8516813.80144325,5228202.88383929
-8516817.75099528,5228196.70370622
-8516823.50823064,5228187.08397072
-8516829.21314396,5228178.16270508
-8516834.68685923,5228168.54272883
-8516837.91396526,5228163.06047551
-8516841.11537954,5228157.55226025
-8516844.29105628,5228152.06996529
-8516847.31251626,5228145.91483258
-8516850.38509421,5228140.40650953
-8516853.25128215,5228134.92394636
-8516856.16975211,5228128.76873037
-8516859.0881057,5228122.58771213
-8516861.92916509,5228116.43229777
-8516864.641396,5228110.27690805
-8516867.32839219,5228103.42299424
-8516869.88580997,5228097.2674741
-8516873.60632508,5228087.69761244
-8516877.19859982,5228077.45508322
-8516881.15094506,5228068.14430928
-8516884.74386448,5228056.99617784
-8516892.80314729,5228022.22823652
-8516884.74386448,5228056.99617784
-8516881.15094506,5228068.14430928
-8516877.19859982,5228077.45508322
-8516873.60632508,5228087.69761244
-8516869.88580997,5228097.2674741
-8516867.32839219,5228103.42299424
-8516864.641396,5228110.27690805
-8516861.92916509,5228116.43229777
-8516859.0881057,5228122.58771213
-8516856.16975211,5228128.76873037
-8516853.25128215,5228134.92394636
-8516850.38509421,5228140.40650953
-8516847.31251626,5228145.91483258
-8516844.29105628,5228152.06996529
-8516841.11537954,5228157.55226025
-8516837.91396526,5228163.06047551
-8516834.68685923,5228168.54272883
-8516829.21314396,5228178.16270508
-8516823.50823064,5228187.08397072
-8516817.75099528,5228196.70370622
-8516813.80144325,5228202.88383929
-8516809.85175063,5228209.0641104
-8516805.79893798,5228215.24415591
-8516801.72038592,5228221.45012196
-8516797.61614031,5228227.63026179
-8516793.43448529,5228233.81033459
-8516797.61614031,5228227.63026179
-8516801.72038592,5228221.45012196
-8516805.79893798,5228215.24415591
-8516809.85175063,5228209.0641104
-8516813.80144325,5228202.88383929
-8516817.75099528,5228196.70370622
-8516823.50823064,5228187.08397072
-8516829.21314396,5228178.16270508
-8516834.68685923,5228168.54272883
-8516837.91396526,5228163.06047551
-8516841.11537954,5228157.55226025
-8516844.29105628,5228152.06996529
-8516847.31251626,5228145.91483258
-8516850.38509421,5228140.40650953
-8516853.25128215,5228134.92394636
-8516856.16975211,5228128.76873037
-8516859.0881057,5228122.58771213
-8516861.92916509,5228116.43229777
