OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
748,STEWART AVE, ,100,100 Blk Stewart Ave.,E STATE ST,E SENECA ST,2,Two-way,Sidewalks adjacent to both sides of the street,28.6,28.6,49.5,NO,Collector,NONE,CITY ST,509.448187132397,"Brick, Block","Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,"1887, 1988, 1988 BKPG 131-117, 132-338,",2,944,210.872814520141
751,ELMWOOD AVE, ,200,200 Blk Elmwood Ave.,ITHACA RD,FAIRMOUNT AVE,2,Two-way,Sidewalks adjacent to both sides of the street,25.5,25.5,50,NO,Local Road,NONE,CITY ST,484.891778516977,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,950,200.139405022864
755,E STATE ST / M.L.K. JR ST,MARTIN LUTHER KING JR ST/79,900,900 Blk E State St.,VALLEY RD,MITCHELL ST,2,Two-way,Sidewalks adjacent to both sides of the street,26,26,50,YES,Minor Arterial, ,CITY ST,566.207822572458,Asphalt,,FIRE,CITYST,NYSRteCityPaves,YES,Unknown,2,954,233.8798622427
763,FERRIS PL, ,100,100 Blk Ferris Pl.,S QUARY ST,FERRIS PL TURN,2,Two-way,Sidewalks adjacent to both sides of the street,23.8,23.8,49.5,NO,Local Road,NONE,CITY ST,171.285577639252,"Brick, Block","Curbed, Concrete",NO,CITYST,CITY-ALL,NO,"1926 BKPG 193-459, 193-468",2,970,70.6918007396468
767,LINDEN AVE, ,100,100 Blk Linden Ave.,MITCHELL ST,BOOL ST,1,One-way,Sidewalks adjacent to both sides of the street,22,22,50,NO,Local Road,NONE,CITY ST,611.831698850303,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1895 BKPG Various,2,976,253.234811354997
786,STEWART AVE, ,500,500 Blk Stewart Ave.,CAMPUS RD,CORNELL AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,34,34,0,NO,Collector,NONE,CITY ST,529.380694033458,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1888 BKPG 132-383,1,1011,219.014094768845
787,OSMUN PL, ,100,100 Blk Osmun Pl.,OSMUN PL,E BUFFALO ST,2,Two-way,Sidewalks adjacent to both sides of the street,23,23,42,NO,Local Road,NONE,CITY ST,193.696107094492,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1898 BKPG 147-467,3,1013,80.1777771631502
802,CAMPUS RD, ,100,100 Blk Campus Rd,CENTRAL AVE,,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,317.96771398526,,,FIRE,CU,NONE,NO,,0,,131.337557431868
811,STEWART AVE, ,,400 Blk Stewart Ave.,CASCADILLA CREEK,CASCADILLA CREEK,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,49.5,NO,Collector,NONE,CITY OWNED,159.591402650476,Asphalt,"Curbed, Granite",FIRE,CITYBRG,CITY BRIDGE,NO,,1,1071,66.0579221119249
812,CAMPUS RD NB LANE, ,000,<100 Blk Campus Rd.,CAMPUS RD,STEWART AVE,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,125.649468942982,,,FIRE,CU,NONE,NO,,0,,51.9226527382872
819,OAK AVE EB LANE, ,,100 Blk Oak Ave.,COLLEGE AVE,OAK AVE EB LANE,1,One-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,19.1333815073942,Asphalt,,NO,CU,NONE,NO,,0,,7.89613718053249
826,ORCHARD PL, ,100,100 Blk Orchard Pl.,BLAIR ST,END,2,,Sidewalks adjacent to both sides of the street and north side partial,0,0,0,NO,,NONE,PRIVATE,208.13524882479,,,NO,PRIVATE RD,NONE,NO,,0,,85.8360428656632
827,ELSTON PL, ,100,100 Elston Pl.,E STATE ST,END,2,,No sidewalks adjacent to the street,0,0,0,NO,,NONE,PRIVATE,261.784544962703,,,NO,PRIVATE RD,NONE,NO,,0,,108.351657345144
828,DEWITT PL, ,100,100 Dewitt Pl.,E BUFFALO ST,END,2,Two-way,Sidewalks adjacent to the east side of the street only,0,0,0,NO,,NONE,PRIVATE,369.244087824598,,,NO,PRIVATE RD,NONE,NO,,0,,152.843948971493
833,EDGEWOOD PL, ,500,500 blk Edgewood Pl.,OSMUN PL,END,0,,Sidewalks adjacent to the east side of the street and partial,0,0,0,NO,,NONE,PRIVATE,208.546328431987,,,NO,PRIVATE RD,NONE,NO,,0,,86.3256269003477
839,GOTHICS WAY, ,100,100 Blk Gothics Way,WEST AVE,UNIVERSITY AVE,0,One-way,No Information/Unknown,0,0,0,NO,,NONE,CU,1101.32341124671,,,NO,CU,NONE,NO,,0,,456.206810447126
853,JAMES ST, ,100,100 Blk James St.,COLUMBIA ST,END,2,,Sidewalks adjacent to the east side of the street and partial,0,0,0,NO,,NONE,PRIVATE,399.999152708158,,,NO,PRIVATE RD,NONE,NO,,0,,165.513702167343
854,DRYDEN CT, ,,Dryden Ct.,DRYDEN RD,END,0,,No Information/Unknown,0,0,0,NO,,NONE,PRIVATE,152.594214869204,,,NO,PRIVATE RD,NONE,NO,,0,,63.164434071129
860,SUMMIT AVE, ,100,100 Blk Summit Ave.,OAK AVE,END,2,,Sidewalks adjacent to the west side of the street only,0,0,0,NO,,NONE,NCO,129.50668552399,,,NO,PRIVATE RD,NONE,NO,,2,,53.6082571223704
865,CAMPUS RD SB LANE, ,000,<100 Blk Campus Rd.,CAMPUS RD,STEWART AVE,2,One-way,Sidewalks adjacent to the north side of the street only,0,0,0,NO,NA,NONE,CU,343.165378709486,,,FIRE,CU,NONE,NO,,0,,59.0646467646532
866,GARDEN AVE, ,,,RESERVOIR AVE,SCIENCES DR,0,Two-way,No Information/Unknown,0,0,0,NO,NA,NONE,CU,,,,NO,CU,NONE,NO,,0,,255.722614982808
867,Elm Dr CITY CEMETARY, ,,Cemetery Drives,CEMETERY,CEMETERY,0,,No sidewalks adjacent to the street,0,0,0,NO,NA,NONE,CITY OWNED,2916.44221768007,,,NO,CITYFACIL,CITY-ALL,NO,,1,,476.265610000326
868,Oak Dr -CITY CEMETARY, ,,Cemetery Drives,CEMETERY,CEMETERY,0,,No sidewalks adjacent to the street,0,0,0,NO,NA,NONE,CITY OWNED,2916.44221768007,,,NO,CITYFACIL,CITY-ALL,NO,,1,,196.667839281897
