OBJECTID,NAME,ALTNAME,BLOCK,Location_n,Fromstreet,ToStreet,TOTALANES,DIRECT1,SIDEWLK1,WIDTH_C_C,WIDTHAPPRO,ROW_WIDTH,StateRte,FCLASS2014,STATERESP,OWNERSHIP,lengthinv,SURFACETXT,SHOULDTEXT,RESPONSEROUTE,OWNTYPE,MGTRESPONB,STATEROUTEYN,DeedyrBkPg,SID,RINNUM,SHAPE__Length
355,IRVING PL, ,100,100 Blk Irving Pl.,ITHACA RD,BRYANT AVE,2,Two-way,Sidewalks adjacent to the west side of the street only,24,24,50,NO,Local Road,NONE,CITY ST,309.771566503792,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,424,128.121252265659
356,ITHACA RD,NYS STATE ROUTE 366,300,300 Blk Ithaca Rd.,ELMWOOD AVE,DRYDEN RD,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,66,YES,Minor Arterial, ,CITY ST,711.974162563599,Surface Treated,"Curbed, Concrete",FIRE,CITYST,NYSRteCityPaves,YES,1912 BKPG 178-530,2,425,294.434467534889
357,DRYDEN RD, ,200-300,200-300 Blk Dryden Rd.,BRYANT AVE,LINDEN AVE,2,Two-way,Sidewalks adjacent to both sides of the street,30,30,50,NO,Minor Arterial,NONE,CITY ST,161.241201116183,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,2,426,66.5122581698044
358,DRYDEN RD, ,500,500 Blk Dryden Rd.,ITHACA RD,FAIRMOUNT AVE,2,Two-way,Sidewalks adjacent to both sides of the street,28,28,50,NO,Minor Arterial,NONE,CITY ST,724.604204483511,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,Unknown,2,427,298.842329972672
359,OAK AVE EB LANE, ,100,100 Blk Oak Ave.,COLLEGE AVE,OAK AVE,1,One-way,Sidewalks adjacent to both sides of the street,20,20,0,NO,Local Road,NONE,CITY ST,51.2569166716818,Asphalt,"Curbed, Granite",NO,CITYST,CITY-ALL,NO,,2,428,21.1830743745968
360,COLLEGE AVE, ,400,400 Blk College Ave.,DRYDEN RD,BRIDGE,2,Two-way,Sidewalks adjacent to both sides of the street,38,38,60,NO,Local Road,NONE,CITY ST,399.882742427049,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,,2,429,165.524336770368
361,OAK AVE WB LANE, ,LANE,100 Blk Oak Ave.,OAK AVE,COLLEGE AVE,1,One-way,Sidewalks adjacent to both sides of the street,20,20,0,NO,Local Road,NONE,CITY ST,85.2185139705628,Asphalt,"Curbed, Granite",NO,CITYST,CITY-ALL,NO,,2,431,35.2025728430977
362,COLLEGE AVE, ,400,400 Blk College Ave.,OAK AVE,BRIDGE,2,Two-way,Sidewalks adjacent to both sides of the street,0,0,0,NO,NA,NONE,CU,37.7981188149946,,,FIRE,CU,NONE,NO,,0,,15.643582574845
363,COLLEGE AVE, ,300,300 Blk College Ave.,CATHERINE ST,DRYDEN RD,2,Two-way,Sidewalks adjacent to both sides of the street,34,34,50,NO,Minor Arterial,NONE,CITY ST,476.243063281868,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1899 BKPG 153-177,2,433,197.131862678762
364,COOK ST, ,100,100 Blk Cook St.,COLLEGE AVE,BLAIR ST,1,One-way,Sidewalks adjacent to both sides of the street,12.5,12.5,26,NO,Local Road,NONE,CITY ST,210.297630404384,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1908 BKPG 169-89,2,434,86.7353628532226
365,EDDY ST, ,100,100 Blk Eddy St.,E STATE ST/M.L.K. JR ST,COOK ST,2,Two-way,Sidewalks adjacent to both sides of the street,36,36,66,NO,Collector,NONE,CITY ST,561.010371266801,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,435,232.212017799838
367,E BUFFALO ST, ,500,500 Blk E Buffalo St.,STEWART AVE,SCHUYLER PL,2,Two-way,Sidewalks adjacent to both sides of the street,34,34,66,NO,Minor Arterial,NONE,CITY ST,644.638988148032,Asphalt,"Curbed, Concrete",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,3,437,265.865667666331
368,E BUFFALO ST, ,700,700 Blk E Buffalo St.,EDDY ST,N QUARRY ST,2,Two-way,Sidewalks adjacent to both sides of the street,24,24,66,NO,Minor Arterial,NONE,CITY ST,319.720764754479,Asphalt,"Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,1887 (Dewitt) BKPG 131-117,2,438,131.861483076814
409,OSMUN PL, ,100,100 Blk Osmun Pl.,STEWART AVE,OSMUN PL,2,Two-way,Sidewalks adjacent to both sides of the street,25.8,25.8,42,NO,Local Road,NONE,CITY ST,264.142639765676,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1898 BKPG 147-467,3,481,108.940324708303
410,STEWART AVE, ,200,200 Blk Stewart Ave.,E SENECA ST,E BUFFALO ST,2,Two-way,Sidewalks adjacent to both sides of the street,28.6,28.6,49.5,NO,Collector,NONE,CITY ST,329.986817563806,"Brick, Block","Curbed, Granite",FIRE,CITYST,CITY-ALL,NO,"1887, 1988, 1988 BKPG 131-117, 132-338,",2,482,136.591984538683
411,GILES ST, ,100,100 Blk Giles St.,COLUMBIA ST,HUDSON ST,1,One-way,Sidewalks adjacent to both sides of the street,21,21,49.5,NO,Local Road,NONE,CITY ST,1030.23081407794,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,Unknown,4,483,425.393743633315
414,ELMWOOD AVE, ,300,300 Blk Elmwood Ave.,FAIRMOUNT AVE,DRYDEN RD,2,Two-way,Sidewalks adjacent to both sides of the street,26,26,60,NO,Local Road,NONE,CITY ST,696.759209588613,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,487,287.909698526013
415,FAIRMOUNT AVE, ,300,300 Blk Fairmount Ave.,ELMWOOD AVE,DRYDEN RD,2,Two-way,Sidewalks adjacent to both sides of the street,24.3,24.3,50,NO,Local Road,NONE,CITY ST,472.976505881061,Asphalt,"Curbed, Concrete",NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,488,195.77697668552
416,MAPLE GROVE PL, ,100,100 Blk Maple Grove Pl.,DRYDEN RD,END,2,Two-way,Sidewalks adjacent to both sides of the street,18,18,30,NO,Local Road,NONE,CITY ST,213.268501380676,Asphalt,Vegetation,NO,CITYST,CITY-ALL,NO,1912 BKPG 178-530,2,489,88.2784997906909
